lahome,latravel,length
E06000022,E06000022,2.8842004709361753
E06000022,E06000023,0.0622218278575038
E06000022,E06000024,0
E06000022,E06000025,0
E06000023,E06000022,0
E06000023,E06000023,2.1541257529467384
E06000023,E06000024,0.037171650935308935
E06000023,E06000025,0.2401384617767784
E06000024,E06000022,0
E06000024,E06000023,0.4212015175440481
E06000024,E06000024,4.492042729263617
E06000024,E06000025,0
E06000025,E06000022,0.14166918548488544
E06000025,E06000023,0.9874036201786979
E06000025,E06000024,0
E06000025,E06000025,2.822356579748268
